modelo cargado: steps=12000 vocab=2048
b2: modelo+corpus+buffers OK (train=30523204 val=30523204)
PPL inicial: 10.11
== step 1/8000  loss=2.3450  PPL=10.79  (66s) ==
step 663/8000  loss=1.7857
step 664/8000  loss=1.6619
step 665/8000  loss=1.8023
step 666/8000  loss=1.7524
step 667/8000  loss=1.6355
step 668/8000  loss=1.7774
step 669/8000  loss=1.7501
step 670/8000  loss=1.8549
step 671/8000  loss=1.7730
step 672/8000  loss=1.6758
step 673/8000  loss=1.7102
step 674/8000  loss=1.8680
step 675/8000  loss=1.7170
step 676/8000  loss=1.7760
step 677/8000  loss=1.7590
step 678/8000  loss=1.6480
step 679/8000  loss=1.7216
step 680/8000  loss=1.8241
step 681/8000  loss=1.7046
step 682/8000  loss=1.6845
step 683/8000  loss=1.7445
step 684/8000  loss=1.7014
step 685/8000  loss=1.9230
step 686/8000  loss=1.7959
step 687/8000  loss=1.6879
step 688/8000  loss=1.6687
step 689/8000  loss=1.7138
step 690/8000  loss=1.7523
step 691/8000  loss=1.7540
step 692/8000  loss=1.7842
step 693/8000  loss=1.7443
step 694/8000  loss=1.7112
step 695/8000  loss=1.7285
step 696/8000  loss=1.7659
step 697/8000  loss=1.7521
step 698/8000  loss=1.6550
step 699/8000  loss=1.7681
step 700/8000  loss=1.6897
step 701/8000  loss=1.7079
step 702/8000  loss=1.6372
step 703/8000  loss=1.8350
step 704/8000  loss=1.7486
step 705/8000  loss=1.6535
step 706/8000  loss=1.7270
step 707/8000  loss=1.6940
step 708/8000  loss=1.6954
step 709/8000  loss=1.6527
step 710/8000  loss=1.7837
step 711/8000  loss=1.7040
step 712/8000  loss=1.7946
step 713/8000  loss=1.6291
step 714/8000  loss=1.8044
step 715/8000  loss=1.7433
step 716/8000  loss=1.7204
step 717/8000  loss=1.7895
step 718/8000  loss=1.7770
step 719/8000  loss=1.7613
step 720/8000  loss=1.7259
step 721/8000  loss=1.7157
step 722/8000  loss=1.7190
step 723/8000  loss=1.6779
step 724/8000  loss=1.8141
step 725/8000  loss=1.7147
step 726/8000  loss=1.6773
step 727/8000  loss=1.7589
step 728/8000  loss=1.7797
step 729/8000  loss=1.7454
step 730/8000  loss=1.7200
step 731/8000  loss=1.7694
step 732/8000  loss=1.7385
step 733/8000  loss=1.6704
step 734/8000  loss=1.7120
step 735/8000  loss=1.7446
step 736/8000  loss=1.7263
step 737/8000  loss=1.5334
step 738/8000  loss=1.6265
